セクション,セクション_ja,項目,項目_ja,2026年モデル 007+ 増程 308 Ultra+レーザーレーダー版,2026年モデル 007+ 純電 650 Ultra+レーザーレーダー版,2026年モデル 純電 610 フラッシュ版,2026年モデル 007+ 純電 565 Ultra+4WDレーザーレーダー版,2025年モデル 増程 230Max クルーズ版,2025年モデル 純電 550Air クルーズ版,2025年モデル 純電 550Max クルーズ版,2025年モデル 純電 550 行政版,2025年モデル 純電 650Max クルーズ版,2025年モデル 純電 650 行政版
底盘转向,シャシー・ステアリング,助力类型,パワーステアリング形式,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング
底盘转向,シャシー・ステアリング,车体结构,車体構造,モノコック構造,モノコック構造,モノコック構造,モノコック構造,モノコック構造,モノコック構造,モノコック構造,モノコック構造,モノコック構造,モノコック構造
车轮制动,ホイール・ブレーキ,前制动器类型,フロントブレーキ形式,● ベンチレーテッドディスク,● ベンチレーテッドディスク,● ベンチレーテッドディスク,● ベンチレーテッドディスク,● ベンチレーテッドディスク,● ベンチレーテッドディスク,● ベンチレーテッドディスク,● ベンチレーテッドディスク,● ベンチレーテッドディスク,● ベンチレーテッドディスク
车轮制动,ホイール・ブレーキ,后制动器类型,リヤブレーキ形式,● ディスク式,● ディスク式,● ディスク式,● ディスク式,● ディスク式,● ディスク式,● ディスク式,● ディスク式,● ディスク式,● ディスク式
车轮制动,ホイール・ブレーキ,驻车制动类型,パーキングブレーキ形式,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ
车轮制动,ホイール・ブレーキ,前轮胎规格,フロントタイヤサイズ,● 245/45 R19タイヤ,● 245/45 R19タイヤ,● 245/45 R19タイヤ,● 245/45 R19タイヤ,● 245/45 R19タイヤ,● 235/50 R18タイヤ,● 245/45 R19タイヤ,● 235/50 R18タイヤ,● 245/45 R19タイヤ,● 235/50 R18タイヤ
车轮制动,ホイール・ブレーキ,后轮胎规格,リヤタイヤサイズ,● 245/45 R19タイヤ,● 245/45 R19タイヤ,● 245/45 R19タイヤ,● 245/45 R19タイヤ,● 245/45 R19タイヤ,● 235/50 R18タイヤ,● 245/45 R19タイヤ,● 235/50 R18タイヤ,● 245/45 R19タイヤ,● 235/50 R18タイヤ
车轮制动,ホイール・ブレーキ,备胎规格,スペアタイヤ仕様,● パンク修理キット,● パンク修理キット,● パンク修理キット,● パンク修理キット,● パンク修理キット,● パンク修理キット,● パンク修理キット,● パンク修理キット,● パンク修理キット,● パンク修理キット
被动安全,衝突安全,主/副驾驶座安全气囊,運転席/助手席エアバッグ,運転席 ● / 助手席 ●,運転席 ● / 助手席 ●,運転席 ● / 助手席 ●,運転席 ● / 助手席 ●,運転席 ● / 助手席 ●,運転席 ● / 助手席 ●,運転席 ● / 助手席 ●,運転席 ● / 助手席 ●,運転席 ● / 助手席 ●,運転席 ● / 助手席 ●
被动安全,衝突安全,前/后排侧气囊,前/後席サイドエアバッグ,前席 ● / 後席,前席 ● / 後席,前席 ● / 後席,前席 ● / 後席,前席 ● / 後席,前席 ● / 後席,前席 ● / 後席,前席 ● / 後席,前席 ● / 後席,前席 ● / 後席
被动安全,衝突安全,前/后排头部气囊(气帘),前/後席カーテンエアバッグ,前席 ● / 後席 ●,前席 ● / 後席 ●,前席 ● / 後席 ●,前席 ● / 後席 ●,前席 ● / 後席 ●,前席 ● / 後席 ●,前席 ● / 後席 ●,前席 ● / 後席 ●,前席 ● / 後席 ●,前席 ● / 後席 ●
主动安全,アクティブセーフティ,ABS防抱死,ABS,●,●,●,●,●,●,●,●,●,●
主动安全,アクティブセーフティ,制动力分配(EBD/CBC等),EBD/CBC,●,●,●,●,●,●,●,●,●,●
主动安全,アクティブセーフティ,刹车辅助(EBA/BAS/BA等),ブレーキアシスト(EBA/BAS/BA),●,●,●,●,●,●,●,●,●,●
主动安全,アクティブセーフティ,牵引力控制(ASR/TCS/TRC等),トラクションコントロール,●,●,●,●,●,●,●,●,●,●
主动安全,アクティブセーフティ,车身稳定控制(ESC/ESP/DSC等),横滑り防止装置,●,●,●,●,●,●,●,●,●,●
主动安全,アクティブセーフティ,胎压监测功能,タイヤ空気圧監視,● タイヤ空気圧表示,● タイヤ空気圧表示,● タイヤ空気圧表示,● タイヤ空気圧表示,● タイヤ空気圧表示,● タイヤ空気圧表示,● タイヤ空気圧表示,● タイヤ空気圧表示,● タイヤ空気圧表示,● タイヤ空気圧表示
主动安全,アクティブセーフティ,安全带未系提醒,シートベルト非着用警告,● 全車両,● 全車両,● 前席,● 全車両,● 前席,● 前席,● 前席,● 前席,● 前席,● 前席
主动安全,アクティブセーフティ,ISOFIX儿童座椅接口,ISOFIXチャイルドシート固定用インターフェース,●,●,●,●,●,●,●,●,●,●
主动安全,アクティブセーフティ,车道偏离预警系统,レーンディパーチャー警報,●,●,●,●,●,●,●,●,●,●
主动安全,アクティブセーフティ,主动刹车/主动安全系统,自動緊急ブレーキ(AEB),●,●,●,●,●,●,●,●,●,●
主动安全,アクティブセーフティ,疲劳驾驶提示,ドライバー疲労警報,●,●,●,●,-,-,-,-,-,-
主动安全,アクティブセーフティ,DOW开门预警,ドアオープン警報(DOW),●,●,●,●,●,-,●,-,●,●
主动安全,アクティブセーフティ,前方碰撞预警,前方衝突警告,●,●,●,●,●,●,●,●,●,●
主动安全,アクティブセーフティ,后方碰撞预警,後方衝突警告,●,●,●,●,●,-,●,-,●,●
主动安全,アクティブセーフティ,哨兵模式/千里眼,セントリーモード/千里眼機能,●,●,●,●,●,●,●,●,●,●
主动安全,アクティブセーフティ,低速行车警告,低速走行警告,●,●,●,●,●,●,●,●,●,●
主动安全,アクティブセーフティ,内置行车记录仪,内蔵ドライブレコーダー,●,●,●,●,●,-,●,-,●,●
主动安全,アクティブセーフティ,道路救援呼叫,緊急通報(eCall),●,●,●,●,●,●,●,●,●,●
驾驶操控,ドライビングコントロール,驾驶模式切换,ドライブモード切替,"● スポーツ
● エコ
● 標準／快適
● カスタム／パーソナライズ","● スポーツ
● エコ
● 標準／快適
● カスタム／パーソナライズ","● スポーツ
● エコ
● 標準／快適
● カスタム／パーソナライズ","● スポーツ
● エコ
● 標準／快適
● カスタム／パーソナライズ","● スポーツ
● エコ
● 標準／快適
● カスタム／パーソナライズ","● スポーツ
● エコ
● 標準／快適
● カスタム／パーソナライズ","● スポーツ
● エコ
● 標準／快適
● カスタム／パーソナライズ","● スポーツ
● エコ
● 標準／快適
● カスタム／パーソナライズ","● スポーツ
● エコ
● 標準／快適
● カスタム／パーソナライズ","● スポーツ
● エコ
● 標準／快適
● カスタム／パーソナライズ"
驾驶操控,ドライビングコントロール,能量回收系统,エネルギー回生システム,●,●,●,●,●,●,●,●,●,●
驾驶操控,ドライビングコントロール,自动驻车,オートホールド,●,●,●,●,●,●,●,●,●,●
驾驶操控,ドライビングコントロール,上坡辅助,ヒルスタートアシスト,●,●,●,●,●,●,●,●,●,●
驾驶操控,ドライビングコントロール,陡坡缓降,ヒルディセントコントロール,●,●,●,●,●,●,●,●,●,●
驾驶操控,ドライビングコントロール,可变悬架功能,可変サスペンション機能,-,-,-,● サスペンション硬さ調整,-,-,-,-,-,-
驾驶硬件,運転ハードウェア,前/后驻车雷达,前/後パーキングセンサー,前席 ● / 後席 ●,前席 ● / 後席 ●,前席 ● / 後席 ●,前席 ● / 後席 ●,前席 ● / 後席 ●,前／後 ●,前席 ● / 後席 ●,前／後 ●,前席 ● / 後席 ●,前席 ● / 後席 ●
驾驶硬件,運転ハードウェア,驾驶辅助影像,運転支援映像,● 360度パノラマ映像,● 360度パノラマ映像,● 360度パノラマ映像,● 360度パノラマ映像,● 360度パノラマ映像,● 360度パノラマ映像,● 360度パノラマ映像,● 360度パノラマ映像,● 360度パノラマ映像,● 360度パノラマ映像
驾驶硬件,運転ハードウェア,透明底盘/540度影像,透明シャーシ/540度カメラ映像,●,●,●,●,●,●,●,●,●,●
驾驶硬件,運転ハードウェア,辅助驾驶芯片,運転支援チップ,● ホライゾン・トレックJ6M,● ホライゾン・トレックJ6M,-,● ホライゾン・トレックJ6M,-,-,-,-,-,-
驾驶硬件,運転ハードウェア,芯片总算力,チップ総演算能力,● 128 TOPS,● 128 TOPS,-,● 128 TOPS,-,-,-,-,-,-
驾驶硬件,運転ハードウェア,前方感知摄像头,前方検知カメラ,● ステレオカメラ,● ステレオカメラ,● モノカメラ,● ステレオカメラ,● モノカメラ,● モノカメラ,● モノカメラ,● モノカメラ,● モノカメラ,● モノカメラ
驾驶硬件,運転ハードウェア,摄像头数量,カメラ台数,● 11個,● 11個,● 10個,● 11個,● 5個,● 5個,● 5個,● 5個,● 5個,● 5個
驾驶硬件,運転ハードウェア,前方感知摄像头像素,前方検知カメラ画素数,● 800万画素,● 800万画素,-,● 800万画素,-,-,-,-,-,-
驾驶硬件,運転ハードウェア,环境感知摄像头像素,環境検知カメラ画素数,● 250万画素,● 250万画素,-,● 250万画素,-,-,-,-,-,-
驾驶硬件,運転ハードウェア,环视摄像头像素,全周囲カメラ画素数,● 300万画素,● 300万画素,● 100万画素,● 300万画素,● 100万画素,● 100万画素,● 100万画素,● 100万画素,● 100万画素,● 100万画素
驾驶硬件,運転ハードウェア,车内摄像头数量,車内カメラ台数,● 2個,● 2個,● 1個,● 2個,-,-,-,-,-,-
驾驶硬件,運転ハードウェア,超声波雷达数量,超音波レーダー台数,● 12個,● 12個,● 12個,● 12個,● 6個,● 4個,● 6個,● 4個,● 6個,● 6個
驾驶硬件,運転ハードウェア,毫米波雷达数量,ミリ波レーダー台数,● 1個,● 1個,● 5個,● 1個,● 2個,-,● 2個,-,● 2個,-
驾驶硬件,運転ハードウェア,激光雷达品牌,LiDARブランド,● HESAI禾赛テクノロジー,● HESAI禾赛テクノロジー,-,● HESAI禾赛テクノロジー,-,-,-,-,-,-
驾驶硬件,運転ハードウェア,激光雷达型号,LiDAR型式,● ATX,● ATX,-,● ATX,-,-,-,-,-,-
驾驶硬件,運転ハードウェア,激光雷达数量,LiDAR台数,● 1個,● 1個,-,● 1個,-,-,-,-,-,-
驾驶功能,運転機能,巡航系统,クルーズコントロール,● 全速度域自動追従クルーズ,● 全速度域自動追従クルーズ,● 全速度域自動追従クルーズ,● 全速度域自動追従クルーズ,● 全速度域自動追従クルーズ,● 全速度域自動追従クルーズ,● 全速度域自動追従クルーズ,● 全速度域自動追従クルーズ,● 全速度域自動追従クルーズ,● 全速度域自動追従クルーズ
驾驶功能,運転機能,辅助驾驶系统,運転支援システム,● eπパイロット,● eπパイロット,● eπパイロット,● eπパイロット,● eπパイロット,● eπパイロット,● eπパイロット,● eπパイロット,● eπパイロット,● eπパイロット
驾驶功能,運転機能,辅助驾驶等级,運転支援レベル,● レベル2,● レベル2,● レベル2,● レベル2,● レベル2,● レベル2,● レベル2,● レベル2,● レベル2,● レベル2
驾驶功能,運転機能,倒车车侧预警系统,後退時車両接近警報,●,●,●,●,●,-,●,-,●,●
驾驶功能,運転機能,卫星导航系统,衛星ナビゲーションシステム,●,●,●,●,●,●,●,●,●,●
驾驶功能,運転機能,导航路况信息显示,ナビ交通情報表示,●,●,●,●,●,●,●,●,●,●
驾驶功能,運転機能,地图品牌,地図ブランド,● 高徳（ガオデ）,● 高徳（ガオデ）,● 高徳（ガオデ）,● 高徳（ガオデ）,● 高徳（ガオデ）,● 高徳（ガオデ）,● 高徳（ガオデ）,● 高徳（ガオデ）,● 高徳（ガオデ）,● 高徳（ガオデ）
驾驶功能,運転機能,高精定位,高精度測位,-,-,●,-,-,-,-,-,-,-
驾驶功能,運転機能,并线辅助,ブラインドスポットアシスト,●,●,●,●,●,-,●,-,●,●
驾驶功能,運転機能,车道保持辅助系统,レーンキープアシスト,●,●,●,●,●,●,●,●,●,●
驾驶功能,運転機能,车道居中保持,車線中央維持,●,●,●,●,●,●,●,●,●,●
驾驶功能,運転機能,道路交通标识识别,交通標識認識,●,●,●,●,●,●,●,●,●,●
驾驶功能,運転機能,辅助泊车入位,駐車支援,●,●,●,●,-,-,-,-,-,-
驾驶功能,運転機能,遥控泊车,リモートパーキング,●,●,●,●,-,-,-,-,-,-
驾驶功能,運転機能,记忆泊车,メモリーパーク機能,●,●,●,●,-,-,-,-,-,-
驾驶功能,運転機能,循迹倒车,トレースバック駐車,●,●,●,●,-,-,-,-,-,-
驾驶功能,運転機能,辅助变道,車線変更支援,●,●,●,●,-,-,-,-,-,-
驾驶功能,運転機能,辅助匝道自动驶出(入),ランプ自動進出支援,●,●,●,●,-,-,-,-,-,-
驾驶功能,運転機能,信号灯识别,信号機認識,●,●,-,●,-,-,-,-,-,-
驾驶功能,運転機能,方向盘离手检测,ハンドル手放し検知,●,●,●,●,●,●,●,●,●,●
驾驶功能,運転機能,辅助驾驶路段,運転支援対応区間,"● 市街地区間
● 高速道路区間","● 市街地区間
● 高速道路区間",● 高速道路区間,"● 市街地区間
● 高速道路区間",-,-,-,-,-,-
外观/防盗,エクステリア・盗難防止,电动扰流板,電動スポイラー,●,●,-,●,●,-,●,-,●,-
外观/防盗,エクステリア・盗難防止,轮圈材质,ホイール材質,● アルミ合金,● アルミ合金,● アルミ合金,● アルミ合金,● アルミ合金,● アルミ合金,● アルミ合金,● アルミ合金,● アルミ合金,● アルミ合金
外观/防盗,エクステリア・盗難防止,无框设计车门,フレームレスドア,●,●,●,●,●,●,●,●,●,●
外观/防盗,エクステリア・盗難防止,电动后备厢,パワーテールゲート,●,●,●,●,●,-,●,-,●,●
外观/防盗,エクステリア・盗難防止,电动后备厢位置记忆,電動トランク位置メモリー,●,●,●,●,●,-,●,-,●,●
外观/防盗,エクステリア・盗難防止,车内中控锁,集中ドアロック,●,●,●,●,●,●,●,●,●,●
外观/防盗,エクステリア・盗難防止,钥匙类型,キー種類,"● リモコンキー
● Bluetoothキー","● リモコンキー
● Bluetoothキー","● リモコンキー
● Bluetoothキー","● リモコンキー
● Bluetoothキー","● リモコンキー
● Bluetoothキー","● リモコンキー
● Bluetoothキー","● リモコンキー
● Bluetoothキー","● リモコンキー
● Bluetoothキー","● リモコンキー
● Bluetoothキー","● リモコンキー
● Bluetoothキー"
外观/防盗,エクステリア・盗難防止,无钥匙启动系统,キーレススタート,●,●,●,●,●,●,●,●,●,●
外观/防盗,エクステリア・盗難防止,无钥匙进入功能,キーレスエントリー機能,● 運転席,● 運転席,● 運転席,● 運転席,● 運転席,● 運転席,● 運転席,● 運転席,● 運転席,● 運転席
外观/防盗,エクステリア・盗難防止,隐藏电动门把手,自動格納式ドアハンドル,●,●,●,●,●,●,●,●,●,●
外观/防盗,エクステリア・盗難防止,主动闭合式进气格栅,アクティブグリルシャッター,-,●,-,●,-,●,●,●,●,●
外观/防盗,エクステリア・盗難防止,远程启动功能,リモートスタート機能,●,●,●,●,●,●,●,●,●,●
外观/防盗,エクステリア・盗難防止,电池预加热,バッテリー予熱,●,●,●,●,●,●,●,●,●,●
外观/防盗,エクステリア・盗難防止,对外放电,外部放電機能,●,●,●,●,●,●,●,●,●,●
车外灯光,外部照明,近光灯光源,ロービーム光源,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED
车外灯光,外部照明,远光灯光源,ハイビーム光源,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED
车外灯光,外部照明,LED日间行车灯,LEDデイタイムランニングライト,●,●,●,●,●,●,●,●,●,●
车外灯光,外部照明,自适应远近光,アダプティブハイビーム,●,●,●,●,●,-,●,-,●,-
车外灯光,外部照明,自动头灯,オートヘッドライト,●,●,●,●,●,●,●,●,●,●
车外灯光,外部照明,车前雾灯,フロントフォグランプ,-,-,-,-,-,-,-,-,-,-
车外灯光,外部照明,大灯高度可调,ヘッドライトレベライザー,●,●,●,●,●,●,●,●,●,●
车外灯光,外部照明,大灯延时关闭,ヘッドライト遅延消灯,●,●,●,●,●,●,●,●,●,●
车外灯光,外部照明,场景灯语,シーンライト演出,●,●,●,●,●,-,●,●,●,●
车外灯光,外部照明,辅助驾驶灯,運転支援ライト,●,●,-,●,-,-,-,-,-,-
天窗/玻璃,サンルーフ・ガラス,天窗类型,サンルーフ種類,● 開閉不可パノラマサンルーフ,● 開閉不可パノラマサンルーフ,● 開閉不可パノラマサンルーフ,● 開閉不可パノラマサンルーフ,● 開閉不可パノラマサンルーフ,● 開閉不可パノラマサンルーフ,● 開閉不可パノラマサンルーフ,● 開閉不可パノラマサンルーフ,● 開閉不可パノラマサンルーフ,● 開閉不可パノラマサンルーフ
天窗/玻璃,サンルーフ・ガラス,前/后电动车窗,前/後パワーウィンドウ,前席 ● / 後席 ●,前席 ● / 後席 ●,前席 ● / 後席 ●,前席 ● / 後席 ●,前席 ● / 後席 ●,前席 ● / 後席 ●,前席 ● / 後席 ●,前席 ● / 後席 ●,前席 ● / 後席 ●,前席 ● / 後席 ●
天窗/玻璃,サンルーフ・ガラス,车窗一键升降功能,パワーウインドウワンタッチ昇降,● 全車両,● 全車両,● 全車両,● 全車両,● 全車両,● 全車両,● 全車両,● 全車両,● 全車両,● 全車両
天窗/玻璃,サンルーフ・ガラス,车窗防夹手功能,ウインドウ挟み込み防止機能,●,●,●,●,●,●,●,●,●,●
天窗/玻璃,サンルーフ・ガラス,车内化妆镜,室内化粧鏡,"● 運転席＋照明灯
● 助手席＋照明灯","● 運転席＋照明灯
● 助手席＋照明灯","● 運転席＋照明灯
● 助手席＋照明灯","● 運転席＋照明灯
● 助手席＋照明灯","● 運転席＋照明灯
● 助手席＋照明灯","● 運転席
● 助手席","● 運転席＋照明灯
● 助手席＋照明灯","● 運転席
● 助手席","● 運転席＋照明灯
● 助手席＋照明灯","● 運転席＋照明灯
● 助手席＋照明灯"
天窗/玻璃,サンルーフ・ガラス,后雨刷,リヤワイパー,-,-,-,-,-,-,-,-,-,-
天窗/玻璃,サンルーフ・ガラス,感应雨刷功能,レインセンサー式ワイパー,● 雨量感知式,● 雨量感知式,● 雨量感知式,● 雨量感知式,● 雨量感知式,● 雨量感知式,● 雨量感知式,● 雨量感知式,● 雨量感知式,● 雨量感知式
外后视镜,外側ドアミラー,外后视镜功能,ドアミラー機能,"● 電動調整
● 電動格納
● ドアミラー加熱
● 施錠時自動格納","● 電動調整
● 電動格納
● ドアミラー加熱
● 施錠時自動格納","● 電動調整
● 電動格納
● ドアミラー加熱
● 施錠時自動格納","● 電動調整
● 電動格納
● ドアミラー加熱
● 施錠時自動格納","● 電動調整
● 電動格納
● ドアミラー加熱
● 施錠時自動格納","● 電動調整
● 電動格納
● ドアミラー加熱
● 施錠時自動格納","● 電動調整
● 電動格納
● ドアミラー加熱
● 施錠時自動格納","● 電動調整
● 電動格納
● ドアミラー加熱
● 施錠時自動格納","● 電動調整
● 電動格納
● ドアミラー加熱
● 施錠時自動格納","● 電動調整
● 電動格納
● ドアミラー加熱
● 施錠時自動格納"
互联/智能化,コネクティビティ／スマート機能,中控彩色屏幕,センターカラーディスプレイ,● タッチ液晶画面,● タッチ液晶画面,● タッチ液晶画面,● タッチ液晶画面,● タッチ液晶画面,● タッチ液晶画面,● タッチ液晶画面,● タッチ液晶画面,● タッチ液晶画面,● タッチ液晶画面
互联/智能化,コネクティビティ／スマート機能,中控屏幕尺寸,センターディスプレイサイズ,● 15.6インチ,● 15.6インチ,● 15.6インチ,● 15.6インチ,● 15.6インチ,● 15.6インチ,● 15.6インチ,● 15.6インチ,● 15.6インチ,● 15.6インチ
互联/智能化,コネクティビティ／スマート機能,中控屏幕类型,センターコンソール画面タイプ,● LCD,● LCD,● LCD,● LCD,● LCD,● LCD,● LCD,● LCD,● LCD,● LCD
互联/智能化,コネクティビティ／スマート機能,中控屏幕分辨率,センター画面解像度,● 2.5K,● 2.5K,● 2.5K,● 2.5K,● 2.5K,● 2.5K,● 2.5K,● 2.5K,● 2.5K,● 2.5K
互联/智能化,コネクティビティ／スマート機能,中控液晶屏分屏显示,センター液晶分割表示,●,●,●,●,●,●,●,●,●,●
